payment_id,user_id,instrument_id,amount,purpose,created_ts,method
pay_24e1c28aa6ef4d,u_104a3d229c,choudhuryfaqid@okicici,266.61,referral_bonus_payout,2026-07-20T10:48:44,upi
pay_0ad0025d43ca45,u_9dc90e9fac,card_c39640ec678643,480.79,referral_bonus_payout,2026-07-21T14:47:02,card
pay_d6da9887bb8549,u_5b6785d517,choudhuryfaqid@okicici,75.72,referral_bonus_payout,2026-07-21T01:58:24,upi
pay_f98cff48e16d49,u_1db508b3c3,choudhuryfaqid@okicici,473.72,referral_bonus_payout,2026-07-20T14:48:38,upi
pay_ed4303eaa8b747,u_bbf29afce8,card_c39640ec678643,141.92,referral_bonus_payout,2026-07-22T06:59:23,card
pay_93ce90defc9249,u_920f97546e,choudhuryfaqid@okicici,145.92,referral_bonus_payout,2026-07-20T10:32:57,upi
pay_8ece466e103641,u_5eda414ee2,choudhuryfaqid@okicici,294.45,referral_bonus_payout,2026-07-21T04:54:33,upi
pay_cd39fc8fc3b44b,u_36e73dde35,card_c39640ec678643,96.61,referral_bonus_payout,2026-07-22T01:25:14,card
pay_9dcc665e84ab46,u_67fcb0f33c,choudhuryfaqid@okicici,141.62,referral_bonus_payout,2026-07-20T21:38:25,upi
pay_9b09f097e0234a,u_bfb477192d,choudhuryfaqid@okicici,167.88,referral_bonus_payout,2026-07-20T14:05:53,upi
pay_d21d7116e5c046,u_36300e4ab8,choudhuryfaqid@okicici,68.82,referral_bonus_payout,2026-07-20T12:26:40,upi
pay_484bbda0c62340,u_6408670429,santjanaki@paytm,407.91,referral_bonus_payout,2026-05-29T09:35:06,upi
pay_72ec8081293242,u_8066d69e3f,santjanaki@paytm,398.0,referral_bonus_payout,2026-05-29T17:52:19,upi
pay_37cafce649c943,u_132beba054,eprabhakar@okicici,167.55,referral_bonus_payout,2026-05-29T20:01:47,upi
pay_db5e9a68e9094d,u_d8717f7659,card_55d4e109ed0a4b,368.95,referral_bonus_payout,2026-05-29T12:25:24,card
pay_418b66c94afb45,u_400d365e16,eprabhakar@okicici,464.35,referral_bonus_payout,2026-05-29T13:27:18,upi
pay_73f63b7b6b6040,u_29c5e6d9c0,card_55d4e109ed0a4b,349.22,referral_bonus_payout,2026-05-29T16:52:37,card
pay_dff7ffd5ca7041,u_ed7900bd53,santjanaki@paytm,179.11,referral_bonus_payout,2026-05-29T16:02:49,upi
pay_5de776642b2f4b,u_4f58b6dee4,card_c9934a93eec44c,254.94,referral_bonus_payout,2026-03-10T00:12:17,card
pay_a61e4745f49047,u_938167939f,card_c9934a93eec44c,52.5,referral_bonus_payout,2026-03-10T04:47:16,card
pay_d46eadda361d4f,u_acf5377e4a,card_c9934a93eec44c,462.86,referral_bonus_payout,2026-03-10T02:21:47,card
pay_70d87f90140b43,u_46f6f5258f,card_c9934a93eec44c,384.64,referral_bonus_payout,2026-03-10T03:22:34,card
pay_c8bb834ac3574d,u_4051b3e4db,card_c9934a93eec44c,178.58,referral_bonus_payout,2026-03-10T04:56:56,card
pay_bef1ecc0fa264d,u_c88b8eeebd,card_c9934a93eec44c,118.76,referral_bonus_payout,2026-03-10T00:49:17,card
pay_8d0cee37903147,u_8268a445cc,card_c9934a93eec44c,225.26,referral_bonus_payout,2026-03-10T04:50:44,card
pay_e5f7e206dd8f4b,u_c81d540b2a,card_c9934a93eec44c,225.49,referral_bonus_payout,2026-03-10T04:00:01,card
pay_0383bc45feb04a,u_5175e09a1a,card_c9934a93eec44c,63.06,referral_bonus_payout,2026-03-10T02:14:43,card
pay_ef303012cc8847,u_694263804e,card_c9934a93eec44c,316.35,referral_bonus_payout,2026-03-10T01:51:25,card
pay_1a8d7219690a41,u_aa055468d8,card_c9934a93eec44c,424.37,referral_bonus_payout,2026-03-10T02:23:47,card
pay_789b4a8a9a2b4a,u_7d3dbecf29,card_0b2ce79d2be34c,84.2,referral_bonus_payout,2026-07-10T13:19:01,card
pay_ce6e3f0b06114c,u_86b86b62a4,card_0b2ce79d2be34c,242.77,referral_bonus_payout,2026-07-11T01:51:24,card
pay_3ea74ce9fd1441,u_98b002a08d,card_0b2ce79d2be34c,482.35,referral_bonus_payout,2026-07-10T13:13:50,card
pay_10bd53694f8a42,u_82ed7c1683,card_0b2ce79d2be34c,463.83,referral_bonus_payout,2026-07-10T20:47:41,card
pay_c624851ab80b42,u_fffb66f139,card_11a4c203e77d45,340.66,referral_bonus_payout,2026-05-18T22:17:32,card
pay_50d0c193616a42,u_78ee14e35f,ekapadjohal@ybl,311.7,referral_bonus_payout,2026-05-18T23:40:42,upi
pay_d00e3d5851b54a,u_286c1d6722,card_11a4c203e77d45,163.13,referral_bonus_payout,2026-05-19T00:03:22,card
pay_5f2035a408f844,u_51b0eeb78f,ekapadjohal@ybl,174.42,referral_bonus_payout,2026-05-19T01:03:57,upi
pay_791b12b359a843,u_1d79391758,card_11a4c203e77d45,130.75,referral_bonus_payout,2026-05-18T23:20:10,card
pay_acd5d5efab9641,u_dbd5f92b0a,ekapadjohal@ybl,388.76,referral_bonus_payout,2026-05-18T22:48:44,upi
pay_9111499bd1f947,u_505bd550eb,card_11a4c203e77d45,73.12,referral_bonus_payout,2026-05-18T23:19:37,card
pay_dafe45d6022c4d,u_c4606f0a42,ekapadjohal@ybl,477.11,referral_bonus_payout,2026-05-19T00:36:18,upi
pay_c5c0b16683f84a,u_621bbbb067,card_11a4c203e77d45,249.22,referral_bonus_payout,2026-05-19T01:09:54,card
pay_3d6052d7343e44,u_1883207a17,ekapadjohal@ybl,86.53,referral_bonus_payout,2026-05-18T22:34:45,upi
pay_012c22fd068945,u_d1af9704c5,card_11a4c203e77d45,154.16,referral_bonus_payout,2026-05-18T23:33:53,card
pay_3e0c96e6891f4e,u_ba1015da4a,card_399bc1f29ceb4b,86.2,referral_bonus_payout,2026-05-18T04:31:32,card
pay_619aa3a60d2649,u_174dc111be,card_399bc1f29ceb4b,353.43,referral_bonus_payout,2026-05-18T05:57:44,card
pay_903745a9ca4a45,u_c1e778c70b,card_399bc1f29ceb4b,343.18,referral_bonus_payout,2026-05-18T05:10:55,card
pay_3a7038f9df7c45,u_95e1933a27,card_399bc1f29ceb4b,351.56,referral_bonus_payout,2026-05-18T04:32:45,card
pay_25c34bf7e1fc46,u_7446cd4aee,card_399bc1f29ceb4b,163.58,referral_bonus_payout,2026-05-18T05:40:45,card
pay_7c6a8d54c8cb40,u_1e5b7be8d4,card_399bc1f29ceb4b,283.3,referral_bonus_payout,2026-05-18T04:46:36,card
pay_0adf034edf4d4c,u_b2bf0eaf6b,card_399bc1f29ceb4b,467.45,referral_bonus_payout,2026-05-18T04:57:24,card
pay_9c9b9fa4d3684b,u_9f46901fdf,card_399bc1f29ceb4b,56.15,referral_bonus_payout,2026-05-18T04:06:30,card
pay_0069dd2ae4ca46,u_8699f32dcf,wdewan@ybl,439.37,referral_bonus_payout,2026-07-20T00:21:34,upi
pay_ba1aa2494f0343,u_07a3dbbba7,wdewan@ybl,194.8,referral_bonus_payout,2026-07-21T17:03:55,upi
pay_1fed83ec0bbc48,u_81245d8a2a,wdewan@ybl,262.84,referral_bonus_payout,2026-07-21T04:55:47,upi
pay_5d931198c49d45,u_2fd42fbf44,wdewan@ybl,315.58,referral_bonus_payout,2026-07-20T11:51:07,upi
pay_9b1c74ce8bf447,u_237953255d,wdewan@ybl,486.48,referral_bonus_payout,2026-07-21T09:28:54,upi
pay_79f240797ec44c,u_c207dd1240,ravijanuja@ybl,249.66,referral_bonus_payout,2026-03-20T02:54:41,upi
pay_de933953533e45,u_415b7ccc92,ravijanuja@ybl,289.02,referral_bonus_payout,2026-03-20T05:48:54,upi
pay_9b1007980e2141,u_205942caff,ravijanuja@ybl,158.37,referral_bonus_payout,2026-03-20T04:55:17,upi
pay_39f1b144c70448,u_9ef24daf70,ravijanuja@ybl,475.36,referral_bonus_payout,2026-03-20T03:50:48,upi
pay_c02279a70d8b4c,u_f8f14fc519,ravijanuja@ybl,221.61,referral_bonus_payout,2026-03-20T07:01:40,upi
pay_062d8eb8e1aa4c,u_caf398517c,ravijanuja@ybl,304.67,referral_bonus_payout,2026-03-20T06:45:55,upi
pay_3a53e7e530cb49,u_1c5a1387b4,ravijanuja@ybl,135.56,referral_bonus_payout,2026-03-20T08:42:57,upi
pay_7a063359a14a48,u_7daf8d17d1,ravijanuja@ybl,248.37,referral_bonus_payout,2026-03-20T04:13:22,upi
pay_8e696b275fc440,u_c3cdf76ab5,ravijanuja@ybl,109.47,referral_bonus_payout,2026-03-20T06:35:51,upi
pay_b3d5b088e89248,u_93b45b6523,ravijanuja@ybl,474.88,referral_bonus_payout,2026-03-20T07:30:43,upi
pay_0390784e8c8a4a,u_6aad02d17e,jagat21@okhdfcbank,341.44,referral_bonus_payout,2026-06-18T01:50:52,upi
pay_d9162ec588574e,u_7464d7e0ff,jagat21@okhdfcbank,475.82,referral_bonus_payout,2026-06-18T00:54:29,upi
pay_7a3e960df4af46,u_a52c65017c,yprakash@okhdfcbank,351.72,referral_bonus_payout,2026-06-18T00:56:53,upi
pay_2eb94dce59fc47,u_6ffed35d85,yprakash@okhdfcbank,472.57,referral_bonus_payout,2026-06-18T01:17:11,upi
pay_5d1b6c683f6347,u_19dc76c3ba,yprakash@okhdfcbank,358.56,referral_bonus_payout,2026-06-18T01:37:08,upi
pay_bdbec43bd4144d,u_ee98582190,jagat21@okhdfcbank,477.05,referral_bonus_payout,2026-06-18T01:08:00,upi
pay_43212b53d66148,u_92ae689543,jagat21@okhdfcbank,394.32,referral_bonus_payout,2026-06-18T01:07:29,upi
pay_4291c5bb303446,u_741d58a766,card_4fc47a12d8924d,383.77,referral_bonus_payout,2026-04-03T21:03:46,card
pay_d114db1bc5ff44,u_76843f12d1,card_4fc47a12d8924d,149.7,referral_bonus_payout,2026-04-04T01:32:35,card
pay_5679831dddbb41,u_e4da6c2b56,card_4fc47a12d8924d,265.54,referral_bonus_payout,2026-04-04T01:50:32,card
pay_a6b676370e8b48,u_f512ae27db,card_4fc47a12d8924d,79.56,referral_bonus_payout,2026-04-04T01:16:00,card
pay_f585fb66112449,u_c67ec179b0,card_4fc47a12d8924d,322.44,referral_bonus_payout,2026-04-04T00:24:21,card
pay_de5dd07b34024d,u_009715b06e,card_4fc47a12d8924d,152.82,referral_bonus_payout,2026-04-04T01:57:52,card
pay_8bd3d5c61a5c48,u_87f9970bb6,ywali@okhdfcbank,308.35,referral_bonus_payout,2026-06-17T01:43:06,upi
pay_8cbac4e3f17c42,u_8618b3f080,ywali@okhdfcbank,172.97,referral_bonus_payout,2026-06-17T23:07:28,upi
pay_a0561aba9da44a,u_d18005c8ac,ywali@okhdfcbank,383.44,referral_bonus_payout,2026-06-17T06:35:02,upi
pay_65136bf04b794a,u_0e6f89c325,ywali@okhdfcbank,399.58,referral_bonus_payout,2026-06-17T13:22:47,upi
pay_e96537c30a1447,u_466d5c850f,ywali@okhdfcbank,147.01,referral_bonus_payout,2026-06-17T16:46:05,upi
pay_7aef7be2c99f4c,u_6b025b005e,ywali@okhdfcbank,227.87,referral_bonus_payout,2026-06-17T11:20:51,upi
pay_c567d34eff3a4d,u_879af303fe,ywali@okhdfcbank,103.99,referral_bonus_payout,2026-06-17T08:21:32,upi
pay_8cece50c832e41,u_bbf4e48929,card_be3fb45eaf8043,425.01,referral_bonus_payout,2026-06-17T14:19:40,card
pay_cb1021eb163e4e,u_5a9c1a4553,card_be3fb45eaf8043,309.09,referral_bonus_payout,2026-06-17T17:36:02,card
pay_8382cbb3c2e74a,u_d01d1915d5,balaygirik@ybl,207.99,referral_bonus_payout,2026-07-01T23:35:27,upi
pay_1b5827434cc846,u_7852148a1d,upkaarmital@okhdfcbank,397.78,referral_bonus_payout,2026-07-02T07:28:23,upi
pay_4b27df3cc44a46,u_5f77789f0e,upkaarmital@okhdfcbank,261.01,referral_bonus_payout,2026-07-02T16:39:05,upi
pay_f4614c550d724c,u_382f69735a,balaygirik@ybl,66.92,referral_bonus_payout,2026-07-02T02:28:09,upi
pay_f836506d75a148,u_f6b4ef3a1f,upkaarmital@okhdfcbank,414.42,referral_bonus_payout,2026-07-02T02:39:42,upi
pay_2ab9c85fe49c47,u_edba807f00,balaygirik@ybl,87.95,referral_bonus_payout,2026-07-02T01:54:36,upi
pay_17e691aad57645,u_4b793159d4,upkaarmital@okhdfcbank,341.29,referral_bonus_payout,2026-07-02T14:35:46,upi
pay_d15e14afc45244,u_d026c74fa5,upkaarmital@okhdfcbank,312.23,referral_bonus_payout,2026-07-02T14:30:54,upi
pay_f9254a051c4942,u_bc23eaa594,balaygirik@ybl,339.57,referral_bonus_payout,2026-07-02T14:46:41,upi
pay_c147b28b47b34d,u_22da756027,card_54eba1ff76c249,414.07,referral_bonus_payout,2026-04-01T13:00:36,card
pay_cc5c1171a3c840,u_3f3711db4a,card_54eba1ff76c249,386.84,referral_bonus_payout,2026-04-02T02:03:25,card
pay_84fdaaa0c37249,u_b762597f94,card_54eba1ff76c249,257.76,referral_bonus_payout,2026-04-02T05:38:10,card
pay_397a4fa6065f4c,u_f72d0fb689,ynarula@paytm,299.54,referral_bonus_payout,2026-04-01T17:25:56,upi
pay_1a1a47e3dbeb4b,u_b7ed1aa8f2,card_daca9e73c56640,281.01,referral_bonus_payout,2026-04-01T23:28:19,card
pay_51a30dc476d94d,u_c0e41c27b2,sundaramlaban@okicici,462.83,referral_bonus_payout,2026-03-29T09:39:20,upi
pay_d21650250d9648,u_bb7e9ee9c3,rachitmurty@okicici,425.73,referral_bonus_payout,2026-03-30T02:06:19,upi
pay_84a9ad22b1204b,u_e9552631fc,wbera@okhdfcbank,71.49,referral_bonus_payout,2026-03-30T01:01:56,upi
pay_2250031d017d44,u_2038222ded,rachitmurty@okicici,308.77,referral_bonus_payout,2026-03-29T12:03:32,upi
pay_8b17cb46f48d42,u_b71572e951,uloyal@okhdfcbank,334.28,referral_bonus_payout,2026-07-03T20:37:40,upi
pay_226f886294f646,u_5835066576,card_b817464872ce44,448.61,referral_bonus_payout,2026-07-03T22:53:15,card
pay_f13861b1089d49,u_d91f915673,pushtikakar@okhdfcbank,71.51,referral_bonus_payout,2026-07-03T23:02:39,upi
pay_b3fdeef3d70f46,u_7232e8b234,pushtikakar@okhdfcbank,283.67,referral_bonus_payout,2026-07-04T10:10:53,upi
pay_a01e66d5fcab42,u_cb39242fd7,card_b817464872ce44,347.41,referral_bonus_payout,2026-07-04T09:42:05,card
pay_b6ed20ceba4447,u_f3df97b0fc,atwaladweta@paytm,431.9,referral_bonus_payout,2026-07-24T15:17:40,upi
pay_4c1c0836851744,u_5b9b403f66,balveerbhasin@okhdfcbank,64.57,referral_bonus_payout,2026-07-24T19:16:15,upi
pay_e0531d99fb9a4b,u_4f2ac9aba3,balveerbhasin@okhdfcbank,342.3,referral_bonus_payout,2026-07-24T18:39:02,upi
pay_b0bde5ef2f8a46,u_0074c40736,balveerbhasin@okhdfcbank,366.82,referral_bonus_payout,2026-07-24T18:31:56,upi
pay_59498eb48a5f40,u_ce25841f2a,atwaladweta@paytm,83.32,referral_bonus_payout,2026-07-24T19:08:55,upi
pay_53044b9997e94d,u_d209c76d84,atwaladweta@paytm,180.66,referral_bonus_payout,2026-07-24T19:57:59,upi
pay_87501574460740,u_2d3a04c992,atwaladweta@paytm,140.44,referral_bonus_payout,2026-07-24T17:44:48,upi
pay_e3640c9b143347,u_6c24184efa,atwaladweta@paytm,88.8,referral_bonus_payout,2026-07-24T17:27:12,upi
pay_442093dd913340,u_d2fbe9ed99,atwaladweta@paytm,192.66,referral_bonus_payout,2026-07-24T18:17:12,upi
pay_57a75fbad82642,u_154a6f614e,atwaladweta@paytm,459.82,referral_bonus_payout,2026-07-24T16:40:44,upi
pay_c123accb5f3a4d,u_67a8f9b78c,balveerbhasin@okhdfcbank,151.46,referral_bonus_payout,2026-07-24T16:48:42,upi
pay_40758738054646,u_e6abd44d91,lsandhu@okhdfcbank,480.49,referral_bonus_payout,2026-06-30T20:15:46,upi
pay_d3ff6f17cb4849,u_9b636c4b82,card_738bf2ce77e247,121.14,referral_bonus_payout,2026-07-02T01:03:00,card
pay_acb3ea484a1b42,u_23e48d63d6,card_a600f6e4723e47,97.78,referral_bonus_payout,2026-07-01T20:54:42,card
pay_d51e77c7e11f41,u_ab98c2d7e4,card_738bf2ce77e247,222.87,referral_bonus_payout,2026-07-01T13:11:56,card
pay_b1cb4a0c21d048,u_6e35bbb544,card_a600f6e4723e47,121.7,referral_bonus_payout,2026-07-01T18:50:21,card
pay_e0bb89f7576d4f,u_db6900e67e,card_c4ec2a6d944849,356.18,referral_bonus_payout,2026-06-06T22:51:03,card
pay_c55a4890505a48,u_6e95adb134,lbali@paytm,279.11,referral_bonus_payout,2026-06-07T05:05:40,upi
pay_6500251ccd8248,u_47b44d9978,oliver15@ybl,322.82,referral_bonus_payout,2026-06-07T11:38:28,upi
pay_0b9bb3da6e864e,u_0e2fdb97e1,card_d3969be1e3b843,263.7,referral_bonus_payout,2026-06-07T09:03:33,card
pay_d0d55dee3bdb44,u_1be40aac99,card_c4ec2a6d944849,485.18,referral_bonus_payout,2026-06-07T06:24:01,card
pay_c01baf8306fc46,u_f3ab112fe7,card_c4ec2a6d944849,99.45,referral_bonus_payout,2026-06-07T01:01:27,card
pay_81a0a51cd2414b,u_463514f029,oliver15@ybl,464.23,referral_bonus_payout,2026-06-07T06:12:06,upi
pay_c279c51187c042,u_a4ae6d3b3e,oliver15@ybl,397.4,referral_bonus_payout,2026-06-07T02:28:12,upi
pay_faeaf7f9685645,u_dd648768a8,card_9c27ac24a9e145,151.19,referral_bonus_payout,2026-06-07T07:29:54,card
pay_7c37fdf9434942,u_6294c12398,card_9c27ac24a9e145,354.48,referral_bonus_payout,2026-06-07T07:29:07,card
pay_aa20c2048f894d,u_9b207d17c2,joshua20@okhdfcbank,371.36,referral_bonus_payout,2026-06-07T12:37:26,upi
pay_e61b364ca1c542,u_acb3f025d8,timothy91@ybl,172.01,referral_bonus_payout,2026-06-07T12:44:20,upi
pay_0bfda42072794c,u_db1b19c7ac,kapurzayyan@okhdfcbank,460.95,referral_bonus_payout,2026-03-12T12:06:03,upi
pay_421991f0152545,u_1dc7440b93,kapurzayyan@okhdfcbank,387.05,referral_bonus_payout,2026-03-12T14:27:36,upi
pay_d82d63ad77874b,u_45ef585d70,kapurzayyan@okhdfcbank,338.59,referral_bonus_payout,2026-03-12T13:18:35,upi
pay_b45371732f0141,u_9743df252a,kapurzayyan@okhdfcbank,198.81,referral_bonus_payout,2026-03-12T13:41:14,upi
pay_02801d9b54b348,u_e16432b0aa,kapurzayyan@okhdfcbank,435.27,referral_bonus_payout,2026-03-12T13:35:37,upi
pay_0b5f038c81dc40,u_f416688159,kapurzayyan@okhdfcbank,471.12,referral_bonus_payout,2026-03-12T13:35:46,upi
pay_d13010d6f90141,u_cb1b9f0298,kapurzayyan@okhdfcbank,307.79,referral_bonus_payout,2026-03-12T13:56:57,upi
pay_02c71757b14d4d,u_f911510383,bavahritik@ybl,390.81,referral_bonus_payout,2026-07-24T06:09:48,upi
pay_71bde971a2fa48,u_32ffbe99e1,baljiwan64@okhdfcbank,100.49,referral_bonus_payout,2026-07-24T06:32:09,upi
pay_df4e52e6c3b141,u_c366ca1b08,bavahritik@ybl,254.04,referral_bonus_payout,2026-07-24T05:45:53,upi
pay_ad4b697c323f44,u_a5b155f68b,baljiwan64@okhdfcbank,417.4,referral_bonus_payout,2026-07-24T07:59:23,upi
pay_e8e6451812484f,u_d44508587c,bavahritik@ybl,233.99,referral_bonus_payout,2026-07-24T06:22:12,upi
pay_41b3b6e3b16644,u_e9b2666c72,lekha28@okhdfcbank,471.83,referral_bonus_payout,2026-05-07T06:07:16,upi
pay_7cc2ed4aeda545,u_792e901d96,card_8e34a9dd2bc545,65.11,referral_bonus_payout,2026-05-07T06:28:37,card
pay_97b6c6182dbf4c,u_d8d465ef2e,card_936af4fd5b074b,147.77,referral_bonus_payout,2026-05-07T23:40:31,card
pay_2e95522a221f46,u_17581cebcb,lekha28@okhdfcbank,114.47,referral_bonus_payout,2026-05-07T22:24:20,upi
pay_2e98b8357f644e,u_5f1e3f332a,card_66db5a33cc6a4e,487.53,referral_bonus_payout,2026-05-08T22:54:36,card
pay_0e892cdbd94c43,u_55d12601f6,card_167d65b9048645,114.96,referral_bonus_payout,2026-05-08T16:14:06,card
pay_d036c1d5288648,u_82c14ba8ee,card_8e34a9dd2bc545,431.21,referral_bonus_payout,2026-05-08T00:12:21,card
pay_7ab0385043404d,u_33ec422161,ekothari@paytm,134.67,referral_bonus_payout,2026-05-07T09:00:26,upi
pay_c175c58b372e4c,u_bf0e5a0043,card_936af4fd5b074b,363.03,referral_bonus_payout,2026-05-07T21:18:40,card
pay_0f0959074e8c4e,u_8692cf7122,charan94@ybl,167.35,referral_bonus_payout,2026-06-18T06:16:18,upi
pay_918dad83c89f44,u_c115dacfed,card_11f7adfa85a94e,474.56,referral_bonus_payout,2026-06-18T08:41:55,card
pay_07e440fadac345,u_db6212ded3,card_11f7adfa85a94e,374.14,referral_bonus_payout,2026-06-18T11:11:13,card
pay_bcf500d504e74d,u_d63147c7a2,charan94@ybl,235.58,referral_bonus_payout,2026-06-18T06:07:22,upi
pay_30198b3ecd844d,u_2bf18964eb,charan94@ybl,350.04,referral_bonus_payout,2026-06-18T08:35:45,upi
pay_625b25b4f4c847,u_1e70ed7553,charan94@ybl,374.99,referral_bonus_payout,2026-06-18T06:46:53,upi
pay_0070f26b866843,u_c1f456f0a8,charan94@ybl,158.44,referral_bonus_payout,2026-06-18T10:14:27,upi
pay_7d340bb930f041,u_e73d591f63,card_11f7adfa85a94e,256.55,referral_bonus_payout,2026-06-18T08:10:17,card
pay_de17efd7edaa4d,u_ce63563a00,card_11f7adfa85a94e,264.2,referral_bonus_payout,2026-06-18T06:01:36,card
pay_d0084cfd69ca46,u_a4d7d2e5d6,charan94@ybl,463.62,referral_bonus_payout,2026-06-18T11:19:17,upi
pay_f97a8037a71640,u_5902357240,charan94@ybl,176.17,referral_bonus_payout,2026-06-18T10:15:59,upi
pay_399bfc1bb5214e,u_dd956863b3,charan94@ybl,370.72,referral_bonus_payout,2026-06-18T08:46:03,upi
pay_6643d95890f942,u_8bb9f2ed0f,owen66@okhdfcbank,83.08,referral_bonus_payout,2026-06-29T04:19:32,upi
pay_25fdda6f345c42,u_7d838820f2,card_93cef6abb9b54c,52.34,referral_bonus_payout,2026-06-29T09:09:33,card
pay_e8d7ac8bee0641,u_0b4ce083c1,card_265874f43c3646,300.64,referral_bonus_payout,2026-06-29T06:52:51,card
pay_387019f3466345,u_b40fc4970c,owen66@okhdfcbank,195.99,referral_bonus_payout,2026-06-29T16:22:40,upi
pay_e8ba84edec204e,u_5a399b5379,owen66@okhdfcbank,112.48,referral_bonus_payout,2026-06-29T23:55:59,upi
pay_3503ff44b89840,u_97f9fbca3e,card_93cef6abb9b54c,402.2,referral_bonus_payout,2026-06-29T10:23:48,card
pay_c9daa71529dd4d,u_38464181f4,card_265874f43c3646,110.97,referral_bonus_payout,2026-06-29T22:20:37,card
pay_974b49b73d8d47,u_a887180f0b,card_93cef6abb9b54c,420.59,referral_bonus_payout,2026-06-29T18:05:24,card
pay_b2c816f483a242,u_59ce6aaf8d,card_93cef6abb9b54c,229.21,referral_bonus_payout,2026-06-30T05:38:25,card
pay_a8beceb063a34c,u_bef3cc8001,card_93cef6abb9b54c,417.42,referral_bonus_payout,2026-06-29T22:03:09,card
pay_c77d90f3f14944,u_e6f63c5b05,card_265874f43c3646,297.54,referral_bonus_payout,2026-06-29T11:07:00,card
pay_219407a4c9e54b,u_0bd38c4ef3,owen66@okhdfcbank,163.71,referral_bonus_payout,2026-06-30T04:16:40,upi
pay_44920c58d37240,u_6050c4fc0b,card_93cef6abb9b54c,290.47,referral_bonus_payout,2026-06-29T05:50:06,card
pay_35b1c589557844,u_4bcfee9398,vamakshimurthy@ybl,218.35,referral_bonus_payout,2026-07-24T02:04:14,upi
pay_7fdb768c326749,u_4fca2c98cb,card_cb0e30fb6ad54f,182.94,referral_bonus_payout,2026-07-24T03:36:53,card
pay_0b480ae8d7e049,u_ccabb4cd5f,card_cb0e30fb6ad54f,206.74,referral_bonus_payout,2026-07-24T02:58:24,card
pay_5f2d01b523b142,u_cd00498f72,card_cb0e30fb6ad54f,101.79,referral_bonus_payout,2026-07-24T02:24:19,card
pay_b0ef0f41ce3e4f,u_46a02947c6,card_cb0e30fb6ad54f,241.87,referral_bonus_payout,2026-07-24T05:18:26,card
pay_46e27e6995a546,u_0618c3e318,vamakshimurthy@ybl,326.35,referral_bonus_payout,2026-07-24T02:15:36,upi
pay_748d22767c7b42,u_a19aff90cd,card_cb0e30fb6ad54f,366.69,referral_bonus_payout,2026-07-24T01:45:26,card
pay_ac56aefd92514a,u_0346e74630,fariq32@ybl,352.45,referral_bonus_payout,2026-05-28T22:02:05,upi
pay_c956e10a6e1047,u_73b2174967,gchauhan@paytm,112.04,referral_bonus_payout,2026-05-28T23:34:04,upi
pay_09a6b073258245,u_b4e3319141,gchauhan@paytm,134.19,referral_bonus_payout,2026-05-28T23:02:27,upi
pay_2d9e050064174b,u_53245c1f98,gchauhan@paytm,277.45,referral_bonus_payout,2026-05-28T23:04:14,upi
pay_692fcf834f064b,u_c1856c8c88,gchauhan@paytm,151.18,referral_bonus_payout,2026-05-29T00:17:16,upi
