user_id,name,phone,email,signup_ts,signup_ip,device_id,referred_by,cluster_id,cluster_type,kyc_address_hash,payment_instrument_id,bonus_amount_claimed,num_txn_post_signup,total_txn_value_post_signup,active_days_post_signup
u_e993b066fb,Amrita Acharya,5698172077,gopalcharan@gmail.com,2026-04-09T21:10:18,214.190.53.122,dev_677a7eb3778a,,,ORGANIC_SINGLE,addr_9818575907,card_a2def160642c45,167.44,2,5352.99,5
u_01188df75c,Onkar Kale,2730499780,ekantika01@yahoo.com,2026-05-07T21:43:08,34.50.207.89,dev_2894da8f56dc,,,ORGANIC_SINGLE,addr_3387271588,card_73eeae9246994b,418.7,5,7315.07,11
u_12b9859998,Samaksh Sood,1208033483,raghavvirk@hotmail.com,2026-05-04T13:00:11,220.100.154.129,dev_6848b41db5dc,,,ORGANIC_SINGLE,addr_2002210369,thomasdeol@okhdfcbank,188.66,1,1621.49,0
u_8e72dabfce,Jairaj Bhardwaj,1343258803,udarshdoshi@yahoo.com,2026-06-04T11:25:36,139.210.151.218,dev_96b8ed6bf08c,,,ORGANIC_SINGLE,addr_9673785526,card_437724eccb994f,261.12,33,52127.0,58
u_529cfda726,Mugdha Sahni,8230067992,maya39@yahoo.com,2026-05-30T11:48:54,52.243.209.13,dev_2e73a9974819,,,ORGANIC_SINGLE,addr_4265997505,card_e44a90bcfc5d4c,283.26,7,12822.93,70
u_fe68142d60,Chaman Chopra,4475153792,wbadami@yahoo.com,2026-03-20T15:31:44,151.163.9.180,dev_d932b5752fa0,,fam_226,FAMILY_FRIEND,addr_6870642291,card_6390f1a6885f44,298.68,10,12434.79,120
u_568e89ce6d,Tara Balasubramanian,6227158111,vanshasundaram@gmail.com,2026-04-18T04:29:40,91.254.180.27,dev_eb7857f3228a,,,ORGANIC_SINGLE,addr_9127027918,jhaverirushil@paytm,74.56,12,16674.59,100
u_dbba56db14,Odika Dugar,2400613865,pooja60@gmail.com,2026-04-04T08:30:05.021996,48.16.208.139,dev_d1ce399970c1,u_2d5d94f7d7,fam_95,FAMILY_FRIEND,addr_6520306738,zbala@okicici,408.74,15,17721.35,48
u_289780a57e,Saksham Varty,8929567203,hshenoy@hotmail.com,2026-03-24T05:14:19,33.102.147.43,dev_6b019f0d4893,,,ORGANIC_SINGLE,addr_1011145269,card_7b260fb565d24e,406.21,6,7064.87,16
u_2c4a4f73eb,Frado Bains,6236504602,zghosh@gmail.com,2026-03-04T10:49:15.381693,166.171.209.105,dev_955d767a0acf,u_b70597a6e5,fam_82,FAMILY_FRIEND,addr_3925498812,abhachadha@okicici,356.0,17,25174.65,86
u_dda43ac4cf,Pranav Issac,4707066057,inagi@yahoo.com,2026-03-20T11:42:01.442124,58.62.235.161,dev_5f347a9a5696,u_95085c68ca,fam_375,FAMILY_FRIEND,addr_2323960154,bmurthy@ybl,312.09,20,34575.07,91
u_04ee49a57c,Baljiwan Raj,6613906048,nagarmason@yahoo.com,2026-07-10T08:39:48,193.210.30.71,dev_acf6c2bd257b,u_8ac1bfdca6,ring_27,FRAUD_RING,addr_1373733059,uparmar@okhdfcbank,417.7,2,698.86,0
u_815e6fd7f8,Bahadurjit Bhargava,0069680186,qsood@gmail.com,2026-05-11T13:04:06,80.232.78.218,dev_15f229c5b673,u_013e4f48fb,ring_95,FRAUD_RING,addr_1788106644,card_831925e66ae24c,444.29,1,2687.59,0
u_292ba3336a,Yachana Chacko,5484476350,qasim75@yahoo.com,2026-03-05T19:11:00,112.241.76.213,dev_d2247e3f390e,,,ORGANIC_SINGLE,addr_309314289,kalitaharini@okicici,458.66,2,5479.68,0
u_46a02947c6,Mitali Chaudhary,7175455884,anmol61@yahoo.com,2026-07-24T03:57:26,204.220.54.3,dev_6c0ea9a17827,u_4bcfee9398,ring_25,FRAUD_RING,addr_6883159744,card_cb0e30fb6ad54f,241.87,0,0,1
u_afd2790a03,Rishi Krishnamurthy,6457801114,garimajain@yahoo.com,2026-06-02T08:44:45,203.28.199.62,dev_708e7ef4b825,,,ORGANIC_SINGLE,addr_7223986738,bhasinomisha@paytm,386.53,0,0,0
u_d29c55c2b7,Mugdha Mani,2169666309,lakshitthakur@gmail.com,2026-05-03T11:28:25,87.86.10.138,dev_0a2ce5a1dcc5,u_aa8f61f9ea,ring_64,FRAUD_RING,addr_7764768701,card_6c2726329aa04d,173.01,0,0,0
u_7bc8eab86b,Tarak Saini,0791546060,oakbhavika@hotmail.com,2026-07-05T16:50:48,211.154.76.71,dev_5547fbb726e7,,,ORGANIC_SINGLE,addr_2938625425,xchad@ybl,121.52,1,1856.56,10
u_7c14718956,Nidra Sankar,5543205467,kadakiashravya@gmail.com,2026-04-27T17:21:43,206.222.242.248,dev_4c33b92571b1,,,ORGANIC_SINGLE,addr_4734697812,card_515b9fee16314c,323.02,6,5239.93,3
u_f75f997a53,Baljiwan Balay,2205620190,comarsarthak@yahoo.com,2026-06-30T23:36:01,11.235.210.182,dev_9c36d6443f1f,u_1c894ace95,ring_124,FRAUD_RING,addr_9959229189,card_3bb0b3467acc46,402.86,3,5225.15,17
u_4aa00195f7,Simon Bhakta,2011731010,balasubramanianadweta@yahoo.com,2026-05-21T02:04:45.357419,76.84.0.244,dev_eb74126fad3b,u_d78e22ba7b,fam_220,FAMILY_FRIEND,addr_2469317064,card_b8684c230aa74a,117.02,2,5226.04,4
u_a245287bbb,Udant Oak,1222990775,tbail@hotmail.com,2026-06-01T09:54:06,51.102.103.202,dev_bab9f9a882d0,u_3cdfa345b9,ring_75,FRAUD_RING,addr_7336496033,indalireddy@ybl,158.07,1,2826.43,0
u_2ddd181023,Avi Purohit,2542788023,jwali@yahoo.com,2026-06-24T23:02:15,13.118.227.187,dev_614532785200,,,ORGANIC_SINGLE,addr_9704440800,xdivan@okicici,308.34,6,7559.25,24
u_178e36f3bd,Suhani Murthy,6870690571,gokhalefiyaz@hotmail.com,2026-04-30T00:07:30.568913,177.32.23.73,dev_7ea40d57d95a,u_4d619e9085,fam_21,FAMILY_FRIEND,addr_5081016123,card_0263b6a60b6c41,70.89,15,22465.31,89
u_09b60b6f90,Gagan Edwin,8760947423,raiijaya@yahoo.com,2026-03-06T22:04:03,163.12.159.89,dev_c49eff6f5488,,,ORGANIC_SINGLE,addr_6202716840,card_cc661d20082447,432.11,32,53866.04,46
u_16df5ed1a6,Advaith Tailor,7621765174,ptiwari@hotmail.com,2026-06-13T10:33:25,7.244.201.150,dev_15c858bb993b,,,ORGANIC_SINGLE,addr_8184715191,mason44@paytm,64.2,7,12932.26,116
u_7bc27e2b43,Victor Baral,3614817926,charan43@hotmail.com,2026-03-20T19:23:52,104.134.249.107,dev_6b1a92e8251a,,,ORGANIC_SINGLE,addr_1102675364,gollaraghav@ybl,174.29,7,13554.7,123
u_3914c3bb6a,Kabir Agate,4102387351,tsachdev@yahoo.com,2026-06-26T11:45:45,24.249.171.38,dev_6ccf8c7b47d1,u_7aca237101,ring_138,FRAUD_RING,addr_2383192512,boasedarpan@paytm,233.3,0,0,1
u_962b2fcd9f,Sara Cheema,1821925967,warrioramrita@gmail.com,2026-05-07T04:31:58,40.176.6.197,dev_7aa7aab94158,u_45dbb6ca2a,ring_86,FRAUD_RING,addr_7864047607,card_4c001f4a47424a,395.03,1,779.7,2
u_18bce194fc,Vasatika Chaudry,9514955838,ykala@hotmail.com,2026-05-06T02:17:32.241225,162.93.15.245,dev_f978298335fd,u_58031fcc87,fam_189,FAMILY_FRIEND,addr_4820509712,card_26f80344d3d84e,318.35,0,0,0
u_b3d6c6cd8e,Vanya Mital,1317058953,wsant@yahoo.com,2026-03-27T13:38:25,185.120.231.3,dev_3083e67ae32f,,,ORGANIC_SINGLE,addr_7748007716,card_d4cb851997b34a,341.67,1,2612.73,13
u_7f921ac868,Niharika Bandi,6561248156,sudiksha00@hotmail.com,2026-06-06T04:38:05,165.193.206.210,dev_dff333b9aa94,u_572f4826b1,ring_38,FRAUD_RING,addr_3680742212,card_b04fc6997e1242,195.07,1,1089.1,27
u_e4ec277ab3,Balhaar Chhabra,4142900940,sathevasudha@hotmail.com,2026-03-24T18:10:15,175.223.4.126,dev_9d5667b1cec8,,fam_324,FAMILY_FRIEND,addr_2273858260,card_6959eef6f82840,113.29,13,18530.37,80
u_220746348b,Tarak Seshadri,8299366713,benjamin95@gmail.com,2026-03-13T19:34:17,137.13.250.180,dev_1127d227bf34,,,ORGANIC_SINGLE,addr_1352081121,card_e2eeb05920474f,119.76,20,37715.94,70
u_c4be388409,Amara Golla,7099521046,ozanihal@yahoo.com,2026-06-07T22:59:43,219.231.160.245,dev_4d2be0254f55,,,ORGANIC_SINGLE,addr_730086921,gmukhopadhyay@okhdfcbank,331.24,3,5555.57,21
u_c7217c3fbe,Bachittar Kuruvilla,5846648674,ramaswamyvihaan@yahoo.com,2026-03-22T22:28:01,77.37.109.213,dev_bd2da34a778e,u_e5d80b293a,ring_159,FRAUD_RING,addr_654542420,card_40d07da9404a4d,273.02,0,0,0
u_0dcda9a395,Banjeet Pant,0208413712,pgera@yahoo.com,2026-04-14T01:45:33,217.7.236.159,dev_2d5394a33a31,,,ORGANIC_SINGLE,addr_3332293014,card_5741bbb089b845,150.63,40,61303.52,65
u_d08980632e,Ubika Bhagat,8767398177,masterlakshmi@yahoo.com,2026-04-25T22:54:18,111.194.207.10,dev_df852021562e,,,ORGANIC_SINGLE,addr_8285217844,card_a21ce347130a42,187.84,0,0,0
u_ee98582190,Xavier Bedi,6571208267,wiyengar@yahoo.com,2026-06-18T00:25:00,98.190.55.173,dev_b51de4641aab,u_6aad02d17e,ring_10,FRAUD_RING,addr_771455660,jagat21@okhdfcbank,477.05,4,5872.78,5
u_859972b0a2,Caleb Biswas,0802658934,mnayar@yahoo.com,2026-03-08T12:53:17,168.11.152.198,dev_c68a8ae2523c,u_f63ef8b2cd,ring_129,FRAUD_RING,addr_9984447083,pallnidra@ybl,217.99,4,7210.79,19
u_bed31b83cf,Yadavi Raman,0994241452,kumarraghav@gmail.com,2026-05-16T00:07:53,18.180.87.176,dev_f56f50e836ad,,,ORGANIC_SINGLE,addr_6580757087,anikabahl@okhdfcbank,414.8,32,48303.38,143
u_f3cb7021cf,Megha Ray,2724381445,fpanchal@hotmail.com,2026-05-02T01:57:46.027576,164.216.37.229,dev_2215b5db01d3,u_0bab8c46b1,fam_222,FAMILY_FRIEND,addr_883048323,agastya73@ybl,337.41,28,43333.87,44
u_f0d4eea8ad,Gautam Sengupta,4879655584,pdalal@gmail.com,2026-03-19T05:23:08,135.126.116.98,dev_493693ea486c,,,ORGANIC_SINGLE,addr_2940008976,pillayishwar@ybl,394.22,1,744.0,0
u_4ccd383d47,Aradhana Manda,1544844826,balendra48@yahoo.com,2026-07-20T21:06:10,88.184.251.11,dev_5c6c016623ca,,,ORGANIC_SINGLE,addr_5113917184,card_3521dc74e7634f,365.73,28,32040.85,36
u_d5469f7f17,Kala Dani,9408215454,vedika02@gmail.com,2026-06-02T15:28:46,210.176.249.203,dev_62ae1d8c8896,u_635fa070be,ring_41,FRAUD_RING,addr_366881951,dinpavani@ybl,417.63,1,1024.16,0
u_cb76ba6c77,Rayaan Kade,4817006661,jalsa41@yahoo.com,2026-06-22T06:08:53,159.230.127.95,dev_648094d449c6,u_c73834bb91,ring_66,FRAUD_RING,addr_3602659578,sakshammitter@okicici,300.65,0,0,2
u_0fc11107a7,Sneha Kadakia,6385621505,nkonda@hotmail.com,2026-06-07T09:02:34,80.207.253.15,dev_0ef0b6473900,,,ORGANIC_SINGLE,addr_9210899238,sakshamhanda@okicici,422.04,35,45362.29,99
u_99abe0efa7,Rayaan Trivedi,1497459793,virkteerth@hotmail.com,2026-07-27T10:15:31,133.195.21.155,dev_f23ad62f4ca7,u_25fd706f0e,ring_119,FRAUD_RING,addr_5999414377,card_7bd64620e31541,412.32,2,2843.44,13
u_71c8f3baca,Onveer Tara,5870051253,samareyansh@gmail.com,2026-06-12T15:02:14,39.205.232.234,dev_7477c0c52e7b,,fam_106,FAMILY_FRIEND,addr_8743643837,card_5ce908743bda41,449.63,19,33797.47,138
u_9821b1eb3c,Aadhya Ratta,5391919382,uppalshivansh@hotmail.com,2026-04-27T16:04:33.505244,85.50.114.158,dev_76bfe18e9ff4,u_0bab8c46b1,fam_222,FAMILY_FRIEND,addr_2021308429,card_ccccfc9466d74e,91.91,6,12564.18,23
u_0eb4049c8f,Jasmit Thaker,0781412570,dseshadri@yahoo.com,2026-07-16T09:18:39.790876,115.40.228.68,dev_f6859e5f5d95,u_98a83d41a0,fam_205,FAMILY_FRIEND,addr_5472428448,card_d92d7b80e81643,256.35,34,58109.99,34
u_6715fc25c6,Ekaja Solanki,9149611287,noah96@hotmail.com,2026-03-18T20:35:48,59.216.80.70,dev_aae2b5e6b9f1,u_effe5545f6,ring_91,FRAUD_RING,addr_6333694031,bedwin@paytm,183.02,0,0,0
u_b4af103ab6,Shaurya Vasa,1174953876,mvirk@yahoo.com,2026-05-22T04:15:27,128.216.77.27,dev_bfe5bfabf390,,,ORGANIC_SINGLE,addr_2212228763,card_9a140a3e239043,417.46,4,8938.63,7
u_b2a307e0e0,Gaurav Mane,1491090539,manderbrijesh@gmail.com,2026-07-21T22:54:51,155.203.173.95,dev_2376f01f4a94,,,ORGANIC_SINGLE,addr_5836871853,psalvi@ybl,84.75,1,2774.56,18
u_08de6bae6c,Zayyan Sharma,0751939146,kharesaumya@hotmail.com,2026-07-07T14:22:26,201.145.163.150,dev_787966816b7f,,fam_123,FAMILY_FRIEND,addr_7557650880,card_4b5deda3a34542,353.37,30,48165.81,74
u_f6c5731401,Idika Hayer,6054015035,zashilgupta@gmail.com,2026-07-13T23:23:34,122.218.208.175,dev_b665490c94a7,,,ORGANIC_SINGLE,addr_4173562621,teerthsandal@okhdfcbank,457.75,16,21980.4,88
u_eb4ba948c8,Daksh Raghavan,9942489420,krisha64@hotmail.com,2026-05-17T13:00:26,75.192.81.146,dev_6d115dad442d,u_24dd878dd1,ring_92,FRAUD_RING,addr_3461202723,card_09dc82fa421c4a,359.97,0,0,0
u_8c3f77d681,Nikita Sha,5852340778,krishnanharita@gmail.com,2026-06-07T00:36:10,222.137.55.183,dev_9c5e238897f8,,,ORGANIC_SINGLE,addr_8128317728,gghosh@okicici,440.68,32,44121.16,24
u_231e142d16,Chandresh Gala,0418460948,qarin35@yahoo.com,2026-06-26T10:11:43,109.182.216.123,dev_55430ba9ab3e,,,ORGANIC_SINGLE,addr_3199489434,card_fb12bb77101745,357.75,26,34589.83,132
u_73048dc7cc,Jagdish Bhalla,8439055295,rauomaja@hotmail.com,2026-04-28T23:39:09,42.217.212.36,dev_321a0eddc9fd,u_a28a4f77a2,ring_61,FRAUD_RING,addr_4234952190,vdey@paytm,464.41,0,0,0
u_30c0741a66,Akshay Majumdar,0960732859,singhalpooja@yahoo.com,2026-04-04T18:45:54,12.53.115.223,dev_105a0f8bdaa8,,,ORGANIC_SINGLE,addr_9346495498,ishaan78@okicici,114.49,40,50254.86,150
u_5d044c4ad1,Dalaja Som,2130719783,wbajwa@gmail.com,2026-07-25T22:42:55,202.126.188.128,dev_116bfbc50ba1,,,ORGANIC_SINGLE,addr_5017804172,card_14786b0e2d5345,320.8,23,38599.37,28
u_b48f577974,Indali Kala,9141612846,yamininadkarni@hotmail.com,2026-06-02T15:39:21,210.176.249.203,dev_62ae1d8c8896,u_635fa070be,ring_41,FRAUD_RING,addr_366881951,jalsasha@okicici,218.76,0,0,1
u_33d0bbb6bb,Om Bala,2316588138,sudiksha71@yahoo.com,2026-04-14T22:43:42,109.107.192.97,dev_531c153e38d3,,,ORGANIC_SINGLE,addr_4072412776,card_e30c36d8d7b342,327.09,0,0,0
u_e073705fa6,Gaurika Hayre,4707986321,ramhredhaan@hotmail.com,2026-03-02T00:02:38,32.238.253.93,dev_669925ea845e,,ring_74,FRAUD_RING,addr_2467744517,vyanjanaamble@ybl,86.81,0,0,0
u_3b72a08220,Aarini Sagar,5144881121,khatridominic@yahoo.com,2026-04-26T00:57:10,35.142.162.165,dev_6bb600d07d99,u_3b7d14ff3e,ring_79,FRAUD_RING,addr_2676794139,eta33@ybl,462.26,0,0,1
u_98f615fe9c,Arjun Halder,6939539106,okara@gmail.com,2026-04-04T15:47:09.499618,11.7.22.151,dev_b888f1a3ba6e,u_4688b62c9f,fam_162,FAMILY_FRIEND,addr_9141577809,card_a2b3e3bb535646,335.36,12,18698.65,107
u_9f054f31ce,Edhitha Grewal,5625066803,kbehl@yahoo.com,2026-03-05T06:53:18,25.66.134.148,dev_cf2789ba5414,,,ORGANIC_SINGLE,addr_1989118085,card_0545f42b343747,175.84,5,5735.6,19
u_43f32b22c9,Aarnav Sane,4187758030,osha87@yahoo.com,2026-05-17T19:08:25,156.19.196.239,dev_bbb363c0e852,,ring_42,FRAUD_RING,addr_3681320181,card_9dc10da62f174f,75.86,1,1508.39,0
u_93fef605e2,Manan Khanna,7247838868,ikhalsa@hotmail.com,2026-07-10T18:20:16,154.165.213.244,dev_d3890dc2b5fb,,,ORGANIC_SINGLE,addr_2951020960,card_fb5a512c4e964f,211.21,3,2573.01,28
u_e7fe5bfaa3,Niharika Dey,8744029133,maxsrinivas@yahoo.com,2026-06-29T04:15:40.147880,111.93.135.96,dev_77506ebfda4f,u_ea6221c646,fam_392,FAMILY_FRIEND,addr_8110600079,card_ec2303ed167b46,259.66,18,27606.73,112
u_52309d70ad,Anirudh Bhatt,3915650870,fswamy@yahoo.com,2026-05-10T19:21:22,187.131.1.30,dev_ce14d0fea7a6,,,ORGANIC_SINGLE,addr_1506984981,sridhardaniel@paytm,326.02,5,8623.4,69
u_d8dd95bc9e,Anay Magar,6903265513,upmarege@gmail.com,2026-07-17T21:19:27,85.69.84.135,dev_e721c3ea4605,u_76cc558801,ring_107,FRAUD_RING,addr_4016310262,chowdhuryikshita@ybl,192.64,0,0,0
u_3a5823304a,Kabir Kar,6519170851,qkhare@gmail.com,2026-03-20T14:28:41,2.194.215.103,dev_8e2125f849a6,u_829b86b192,ring_116,FRAUD_RING,addr_1637195689,card_43be0ccfa89844,61.62,0,0,0
u_e6573d2fcd,Ojas Krishnan,2107883127,prishapandit@yahoo.com,2026-06-20T08:14:06,175.137.200.213,dev_903aeb30be8b,u_0bd181c05f,ring_152,FRAUD_RING,addr_3558536738,card_e6dd56c25fa244,124.17,0,0,1
u_6fc1c04b05,Yochana Mammen,7494009262,vpal@hotmail.com,2026-05-22T12:48:37.851463,191.41.55.168,dev_2b5018fd0c76,u_f97d17252b,fam_132,FAMILY_FRIEND,addr_510170885,card_2dff6fe63be641,356.48,28,49271.8,58
u_4ad101f79f,Sai Baria,3529589774,vrinda08@yahoo.com,2026-06-22T00:19:15,215.164.144.8,dev_8053c061748f,,,ORGANIC_SINGLE,addr_90937729,card_6f4af1f9bb974f,366.86,27,36430.09,81
u_930e7685a4,Chatresh Gokhale,3597489564,kamyadoctor@yahoo.com,2026-07-12T21:23:50,143.197.132.126,dev_d1df967dca2d,,fam_271,FAMILY_FRIEND,addr_1449148034,babuyachana@okhdfcbank,447.58,5,5705.69,29
u_addf952ce9,Chaaya Ganesan,8862175080,ramyatin@gmail.com,2026-05-12T17:57:59,211.202.3.241,dev_ceb49a203c39,,ring_93,FRAUD_RING,addr_2331782030,card_7dec285a37ff47,170.42,1,2712.89,0
u_8363e6233f,Yashodhara Krishna,6018777953,barkhadhar@gmail.com,2026-05-15T22:45:54,171.25.44.78,dev_ba5e8953400d,,fam_70,FAMILY_FRIEND,addr_2088607833,merchantaarav@okhdfcbank,315.15,39,64368.2,106
u_392753bf65,Ekbal Chana,1705946696,kuruvillaurvi@hotmail.com,2026-06-26T10:25:50,37.253.105.110,dev_27cead23c6a1,,,ORGANIC_SINGLE,addr_6387585810,qthakur@paytm,270.66,14,24033.78,94
